word,topic,annotator_note
respetó,aprendizaje,
restaurador,trabajo,
reunimos,relaciones,
revolvimos,trabajo,
riachuelo,ecosistema,
ribera,ecosistema,
ricos,descripciones,
ritmo,cotidiano,
ritual,cultura/tradiciones,
roba,aprendizaje,
robaban,aprendizaje,
roca,ecosistema,
rocas,ecosistema,
rodea,descripciones,
rodeado,descripciones,
rodear,actividades,
rogativa,cultura/tradiciones,
rompe,actividades,
rosadas,descripciones,
rosado,descripciones,
rosados,descripciones,
ruedas,cotidiano,
ruido,cotidiano,
ruidosos,descripciones,
ruta,geografía,
rutas,geografía,
rápidos,descripciones,
róbalos,ecosistema,
saben,aprendizaje,
sabor,cocina,
sabía,aprendizaje,
sacan,actividades,
sacar,actividades,
sacarlos,actividades,
sacaron,experiencias,
sales,cocina,
salga,sin definir,
salmones,ecosistema,
salpica,descripciones,
saltan,actividades,
salto,actividades,
salía,experiencias,
sanarlos,trabajo,
sandías,cocina,
santos,cultura/tradiciones,
secreta,descripciones,
secretos,relaciones,
selección,relaciones,
semilla,ecosistema,
semáforos,infraestructura urbana,
sensación,sentimientos,
sentamos,sin definir,
sentido,sentimientos,
septiembre,experiencias,
señor,cotidiano,
siembra,trabajo,
silencioso,descripciones,
sillas,cotidiano,
silvano,sin definir,apellido
simpática,sentimientos,
sola,sentimientos,
sonidos,cotidiano,
sopa,cocina,
sube,sin definir,
subir,actividades,
subirse,actividades,
subió,experiencias,
suelto,descripciones,
superhéroe,descripciones,
tabaco,cocina,
talismán,cultura/tradiciones,
talladas,expresión artística,
tallar,expresión artística,
tangará,cultura/tradiciones,
tapabocas,salud/bienestar,
tapan,trabajo,
tarro,cotidiano,
taxi,infraestructura urbana,
tazas,cocina,
techo,infraestructura urbana,
tejas,infraestructura urbana,
telares,expresión artística,
tele,cotidiano,
tema,relaciones,?
templo,cultura/tradiciones,
temáticas,aprendizaje,
tercero,sin definir,
terminamos,sin definir,
terremotos,ecosistema,
terrenos,ecosistema,
terrible,sentimientos,
territorio,geografía,
texturas,descripciones,
teñir,trabajo,
tierras,ecosistema,
tigres,ecosistema,
tijeras,trabajo,
timón,trabajo,
tinturas,expresión artística,
tira,actividades,
tiro,actividades,
tocamos,actividades,
tocando,actividades,
tocarlos,experiencias,
tolerantes,descripciones,
toma,actividades,
tomó,experiencias,
topa,descripciones,
torea,actividades,
torito,ecosistema,
trabajadoras,trabajo,
trabajando,trabajo,
traemos,trabajo,
traiciones,aprendizaje,
trajeron,experiencias,
tranquila,descripciones,
tranquilidad,descripciones,
tranquilo,descripciones,
tranquilos,descripciones,
trasladando,trabajo,
traspasó,descripciones,
traviesa,descripciones,
traídos,descripciones,
tribu,cultura/tradiciones,
trigo,cocina,
tumba,cultura/tradiciones,
turbia,descripciones,
té,cocina,
tíos,relaciones,
típica,descripciones,
típicos,descripciones,
vacaciones,experiencias,
valiente,descripciones,
valiosa,descripciones,
valora,aprendizaje,
valoramos,aprendizaje,
vampiro,cultura/tradiciones,
varazos,sin definir,
varilla,cotidiano,
varita,cotidiano,
vemos,actividades,
vendidos,descripciones,
venga,sin definir,
vengan,sin definir,
vengo,sin definir,
venirnos,experiencias,
ventana,cotidiano,
verdad,aprendizaje,
verde,descripciones,
verdura,cocina,
verlo,actividades,
verme,sin definir,
vernos,sin definir,
veterinario,trabajo,
veía,experiencias,
veían,experiencias,
vi,actividades,
video,expresión artística,
viejo,descripciones,
vine,experiencias,
vinieron,experiencias,
vio,experiencias,
violín,expresión artística,
visitar,actividades,
visitarlo,actividades,
visitarnos,actividades,
viviendo,experiencias,
vivía,experiencias,
volvemos,experiencias,
volé,experiencias,
vuelta,sin definir,
vueltas,sin definir,
vuelve,experiencias,
vuelves,sin definir,
vuelvo,experiencias,
yerba,cocina,
yuca,cocina,
yucateco,cultura/tradiciones,
zanahoria,cocina,
zapatos,cotidiano,
zócalo,infraestructura urbana,
ácida,descripciones,
águila,ecosistema,
época,experiencias,
cerro,ecosistema,
nieve,ecosistema,
tiempo,cotidiano,
abuelos,relaciones,
bahía,ecosistema,
caballo,ecosistema,
color,descripciones,
cosa,sin definir,
dice,experiencias,
dulce,descripciones,
fuerte,descripciones,
guaraní,cultura/tradiciones,
hermano,relaciones,
historia,experiencias,
hizo,experiencias,
miedo,sentimientos,
monte,ecosistema,
negros,cultura/tradiciones,
piñones,cocina,
abuela,relaciones,
papá,relaciones,
buscar,actividades,
días,cotidiano,
lancha,infraestructura urbana,
naturaleza,ecosistema,
ovejas,ecosistema,
abejas,ecosistema,
aburrido,sentimientos,
acuerdo,relaciones,
africanas,cultura/tradiciones,
agradece,aprendizaje,
aldea,relaciones,
alto,descripciones,
amarillas,descripciones,
amarillo,descripciones,
anaconda,ecosistema,
antepasados,cultura/tradiciones,
aprendemos,aprendizaje,
aprendí,aprendizaje,
arica,geografía,
arquitecto,trabajo,
artesanos,trabajo,
artistas,trabajo,
asado,cocina,
asustan,sentimientos,
ayuda,aprendizaje,
ayudar,aprendizaje,
azul,descripciones,
aún,sin definir,
bailando,expresión artística,
bailarinas,trabajo,
ballena,ecosistema,
barro,ecosistema,
bautista,cultura/tradiciones,
bañamos,trabajo,
baño,cotidiano,
bebé,cotidiano,
bolsas,cotidiano,
bordados,expresión artística,
bordar,expresión artística,
bosque,ecosistema,
bota,cotidiano,
botas,cotidiano,
bote,infraestructura urbana,
bueno,descripciones,
buenos,descripciones,
cacao,cocina,
calabaza,cocina,
calienta,descripciones,
cambiar,identidad,
campanas,cotidiano,
cantamos,expresión artística,
casas,infraestructura urbana,
cascabel,cotidiano,
cascabeles,cotidiano,
castillo,infraestructura urbana,
cazadores,trabajo,
centro,descripciones,
chilenos,cultura/tradiciones,
chinchorro,cultura/tradiciones,
chocolate,cocina,
coco,cocina,
colegio,aprendizaje,
comidas,cocina,
comparsas,cultura/tradiciones,
compañeros,relaciones,
compiten,actividades,
conmigo,relaciones,
conoce,aprendizaje,
convirtió,experiencias,
correr,actividades,
cortamos,actividades,
costumbres,cultura/tradiciones,
cruz,cultura/tradiciones,
cuasimodo,cultura/tradiciones,
cuento,actividades,
cuentos,actividades,
cuerda,cotidiano,
cuidarlos,aprendizaje,
curanderos,cultura/tradiciones,
curar,trabajo,
cántaro,cotidiano,
delfines,ecosistema,
descansar,cotidiano,
dibujar,expresión artística,
dientes,cotidiano,
diferente,descripciones,
dijeron,experiencias,
dinosaurio,ecosistema,
dinosaurios,ecosistema,
divertida,sentimientos,
dorado,descripciones,
emocionada,sentimientos,
encantan,identidad,
encontrar,actividades,
enferma,salud/bienestar,
ensalada,cocina,
enseñar,aprendizaje,
entendí,aprendizaje,
espiritual,cultura/tradiciones,
estancia,infraestructura urbana,
estilo,descripciones,
etnia,cultura/tradiciones,
eucalipto,ecosistema,
extremo,descripciones,
falda,cotidiano,
fardos,trabajo,
favorita,identidad,
fogatas,cotidiano,
fruta,cocina,
gana,experiencias,
granada,cocina,
gritamos,actividades,
guano,ecosistema,
guayaba,cocina,
gustan,identidad,
guste,identidad,
gustó,identidad,
güiro,expresión artística,
hablar,relaciones,
haciendo,actividades,
hacían,experiencias,
hambre,sentimientos,
hembra,ecosistema,
hermanita,relaciones,
hicieron,experiencias,
hicimos,experiencias,
huele,descripciones,
iglesia,cultura/tradiciones,
iluminar,actividades,
instrumento,expresión artística,
jaguar,ecosistema,
juega,actividades,
juegos,actividades,
jugo,cocina,
juguetes,cotidiano,
juntan,actividades,
lascar,geografía,
lavar,trabajo,
león,ecosistema,
llamaban,experiencias,
llamado,descripciones,
llamó,experiencias,
llegamos,experiencias,
llegue,experiencias,
lleve,sin definir,
loco,sentimientos,
lucha,actividades,
mano,cotidiano,
manta,cotidiano,
mayas,cultura/tradiciones,
mañana,cotidiano,
medicinales,salud/bienestar,
medicinas,salud/bienestar,
meme,cultura/tradiciones,
mensaje,cotidiano,
mesa,cocina,
momias,cultura/tradiciones,
monos,ecosistema,
morir,salud/bienestar,
muerde,descripciones,
muertos,salud/bienestar,
mujer,cotidiano,
museo,infraestructura urbana,
músicos,trabajo,
nacido,experiencias,
nadar,actividades,
naranja,cocina,
naval,descripciones,
negra,descripciones,
niñas,cotidiano,
oca,ecosistema,
ojos,cotidiano,
orilla,sin definir,
oro,trabajo,
ovejero,trabajo,
palmera,ecosistema,
palo,cotidiano,
pantalón,cotidiano,
papaya,cocina,
paredes,infraestructura urbana,
partidos,actividades,
pasar,sin definir,
paso,sin definir,
pehuenches,cultura/tradiciones,
pelo,cotidiano,
pelotas,cotidiano,
pequeña,descripciones,
perrita,ecosistema,
pertenecer,cultura/tradiciones,
piano,expresión artística,
picante,descripciones,
picar,actividades,
pico,sin definir,
piel,cotidiano,
pintura,cotidiano,
pio,sin definir,
pirámide,cultura/tradiciones,
piñón,cocina,
plátano,cocina,
poder,descripciones,
pollitos,ecosistema,
premio,actividades,
primavera,ecosistema,
profesora,trabajo,
protege,aprendizaje,
puntos,sin definir,
puro,descripciones,
puso,experiencias,
quede,sin definir,
quiere,sentimientos,
recipiente,cotidiano,
risa,sentimientos,
rojo,descripciones,
rosa,descripciones,
rosario,cultura/tradiciones,
rápido,descripciones,
sabores,cocina,
sal,cocina,
saludar,aprendizaje,
salvar,aprendizaje,
santo,cultura/tradiciones,
selva,ecosistema,
semana,cotidiano,
serpiente,ecosistema,
serpientes,ecosistema,
señora,cotidiano,
siento,sentimientos,
sirven,descripciones,
suelo,ecosistema,
suerte,cultura/tradiciones,
sur,geografía,
taca'taca,actividades,taca-taca
tambor,expresión artística,
tigre,ecosistema,
tiñe,trabajo,
tocan,expresión artística,
tomamos,actividades,
tormenta,ecosistema,
tortillas,cocina,
trabajar,trabajo,
trabajo,trabajo,
tradicionales,cultura/tradiciones,
traversa,expresión artística,
trepar,actividades,
trompo,expresión artística,
tumbe,expresión artística,
usaba,descripciones,
usan,descripciones,
usar,descripciones,
valioso,descripciones,
vayan,actividades,
vendemos,trabajo,
venden,trabajo,
venimos,actividades,
verla,actividades,
vestido,cotidiano,
vestidos,cotidiano,
viaje,actividades,
vimos,actividades,
visitan,actividades,
visten,actividades,
volar,actividades,
yagua,geografía,
zanahorias,cocina,
áfrica,geografía,
años,identidad,edad
blanco,descripciones,
cultura,cultura/tradiciones,
diferentes,descripciones,
fuego,cotidiano,
hojas,ecosistema,
perros,ecosistema,
solo,sentimientos,
triste,sentimientos,
ver,actividades,
amigas,relaciones,
arroz,cocina,
atención,aprendizaje,
bailes,expresión artística,
blanca,descripciones,
camino,infraestructura urbana,
canicas,actividades,
cazar,actividades,
celebración,cultura/tradiciones,
ciudades,geografía,
clases,aprendizaje,
come,cocina,
cuidar,aprendizaje,
curso,aprendizaje,
damos,aprendizaje,
darle,aprendizaje,
distintos,aprendizaje,
ejemplo,descripciones,
enseño,aprendizaje,
entretenidas,sentimientos,
esclavos,descripciones,
estrella,ecosistema,
experiencia,experiencias,
extraño,descripciones,
flauta,expresión artística,
flor,ecosistema,
fogón,cotidiano,
frutos,cocina,
fútbol,actividades,
helado,cocina,
hermanitos,relaciones,
hoja,cotidiano,
hombres,cotidiano,
juntas,relaciones,
leyenda,cultura/tradiciones,
libre,descripciones,
limpiamos,trabajo,
limón,cocina,
linda,descripciones,
luz,ecosistema,
madera,ecosistema,
mata,ecosistema,
mejor,identidad,
miel,cocina,
negrito,descripciones,
nerviosa,sentimientos,
nombre,identidad,
palabras,aprendizaje,
papa,cocina,
país,geografía,
países,geografía,
pescadores,trabajo,
pienso,identidad,
planta,ecosistema,
rama,aprendizaje,
saco,cotidiano,
sanar,trabajo,
seca,descripciones,
tardes,cotidiano,
tía,relaciones,
valle,ecosistema,
ve,actividades,
vender,trabajo,
vendo,trabajo,
viva,sentimientos,
viven,experiencias,
volver,actividades,
íbamos,experiencias,
bien,descripciones,
calor,descripciones,
ciudad,geografía,
agua,ecosistema,
pueblo,geografía,
quiero,sentimientos,
cordillera,ecosistema,
río,ecosistema,
niños,cotidiano,
hace,sin definir,
jugamos,actividades,
significa,aprendizaje,
llama,ecosistema,
llamos,ecosistema,
anakena,geografía,
molulco,geografía,
rapanui,cultura/tradiciones,
curanto,cocina,
moais,cultura/tradiciones,
tapatí,cultura/tradiciones,
amú,cultura/tradiciones,
aymara,cultura/tradiciones,
aymaras,cultura/tradiciones,
aymará,cultura/tradiciones,
colchane,geografía,
hanga,sin definir,
huilliche,cultura/tradiciones,
iorana,aprendizaje,
lonko,cultura/tradiciones,
make,cultura/tradiciones,dios
moai,cultura/tradiciones,
muday,cocina,
nguillatún,cultura/tradiciones,
pachica,geografía,
sicuri,cultura/tradiciones,baile
titeve,ecosistema,
tripantu,cultura/tradiciones,
we,sin definir,
mari,cultura/tradiciones,
abrigadita,descripciones,
abrigaditos,descripciones,
aguaya,expresión artística,ropa
aguayos,expresión artística,ropa
ahu,cultura/tradiciones,
ahus,cultura/tradiciones,
aksu,expresión artística,traje
anakos,expresión artística,traje
araki,sin definir,
auch,sentimientos,
awuayos,expresión artística,traje
calchuri,geografía,
caléuche,cultura/tradiciones,
cebollín,cocina,
chapalele,cocina,
chilotas,cultura/tradiciones,
chilote,cultura/tradiciones,
choritos,cocina,
colita,sin definir,
conchitas,ecosistema,
cuyi,ecosistema,
enquelgá,geografía,
geysers,ecosistema,
grandote,descripciones,
guagua,cotidiano,
guatón,descripciones,
hame,sin definir,
hanapico,geografía,
henua,sin definir,
hoi,actividades,
huilliches,cultura/tradiciones,
ilo,sin definir,
jajaja,sentimientos,
juguito,cocina,
kalapurka,cocina,
kihea,sin definir,pintura
kimsa,aprendizaje,
korua,sin definir,
lat,sin definir,
list,sin definir,
lof,geografía,lugar
mahuidache,geografía,comunidad
maito,ecosistema,
mantao,cultura/tradiciones,dios
manuhe,ecosistema,pes
mapudungún,cultura/tradiciones,
micherén,cocina,
milcao,cocina,
newechen,cultura/tradiciones,dios
pachamama,cultura/tradiciones,
palta,cocina,
perejíl,cocina,
pici,ecosistema,
pifilka,expresión artística,instru
piko,geografía,
pitis,sin definir,conchitas
polera,cotidiano,
pudú,ecosistema,
pusi,aprendizaje,
quinoa,cocina,
quinán,sin definir,
raraku,ecosistema,
shaway,expresión artística,ropa
snorkel,cotidiano,
suavecita,descripciones,
sutri,ecosistema,
tamburé,cultura/tradiciones,
tamuré,cultura/tradiciones,
tapati,cultura/tradiciones,
tarapacá,geografía,
tañicucú,sin definir,
trapelakucha,expresión artística,ropa
trarihue,expresión artística,ropa
trarilonko,expresión artística,ropa
trutruka,expresión artística,
vaka,sin definir,canoas
yat,expresión artística,ropa
yi,expresión artística,ropa
ñaña,relaciones,
maiz,cocina,
catuto,cocina,
chiquitita,descripciones,
cuyis,ecosistema,
kultrún,expresión artística,
amazonía,ecosistema,
chururito,cultura/tradiciones,
covid,salud/bienestar,
itaoca,geografía,
lickanantai,cultura/tradiciones,
selknam,cultura/tradiciones,
shipibos,cultura/tradiciones,
verguenza,sentimientos,
abuelita,relaciones,
cantagallo,geografía,
kallawaya,geografía,
mojeños,cultura/tradiciones,
nylon,sin definir,
pichintún,sin definir,
abejitas,ecosistema,
abuelito,relaciones,
abuelitos,relaciones,
ácidas,descripciones,
aguita,ecosistema,
aji,cocina,
alifi,sin definir,
amarillito,descripciones,
amerinda,sin definir,
anzuelar,trabajo,
anzuelito,sin definir,
aracuan,ecosistema,
asael,sin definir,
asaye,sin definir,canasto
ayahuasca,cocina,
ayar,sin definir,
aylla,aprendizaje,
azapa,geografía,
azurupalla,aprendizaje,
bahinas,cultura/tradiciones,personas
berinbao,cultura/tradiciones,
betarraga,cocina,
blan,aprendizaje,
blanquitos,descripciones,
bomfim,sin definir,
braile,aprendizaje,
bufeos,ecosistema,
bully,sin definir,
cachay,aprendizaje,
cahuara,ecosistema,
caiquen,ecosistema,
cajita,sin definir,objeto
caldito,cocina,
calientita,descripciones,
canastito,sin definir,
canastitos,sin definir,
candomblé,cultura/tradiciones,
carnavalito,cultura/tradiciones,
cascahuillas,cultura/tradiciones,
catrina,cultura/tradiciones,
cauñicu,geografía,
cawelloco,geografía,
chacrita,trabajo,
chako,geografía,
chambira,ecosistema,
chanchitos,ecosistema,
charahuilla,expresión artística,traje
charazani,geografía,
charqui,cocina,
charquicán,cocina,
chavy,cocina,
chekeré,expresión artística,
chicazapote,cocina,
chichito,aprendizaje,
chilacayotes,cultura/tradiciones,
chinelo,cultura/tradiciones,traje
chinitos,descripciones,
chiquitica,descripciones,
chiquititos,descripciones,
chitunti,expresión artística,ropa
chivito,ecosistema,
choch,ecosistema,
choripán,cocina,
chullca,salud/bienestar,salud y salud/bienestar
churo,sin definir,
cháak,cultura/tradiciones,dios
colorín,sin definir,maqui
comidita,cocina,
contarselas,experiencias,
crianceros,trabajo,
cuadraditos,descripciones,
cuadritos,sin definir,objeto
cuartazo,descripciones,
cuasimodista,cultura/tradiciones,
cucunas,expresión artística,
cuernito,descripciones,
cunhá,sin definir,
curaca,cultura/tradiciones,
curita,trabajo,
cágado,ecosistema,
resfriamos,salud/bienestar,salud y salud/bienestar
despitados,sentimientos,
dió,aprendizaje,
epu,aprendizaje,
esquirlador,trabajo,
euta,sin definir,
figurines,cultura/tradiciones,
floreamientos,cultura/tradiciones,
freezbie,sin definir,juego
gabiola,cocina,
galopiar,actividades,
gatita,ecosistema,
hablarla,sin definir,
hanal,sin definir,
huasai,ecosistema,
huayrurito,sin definir,
huayruro,ecosistema,
huesillo,cocina,
humaita,geografía,
iansã,cultura/tradiciones,
icaros,cultura/tradiciones,
ichapekene,cultura/tradiciones,
iemanjá,cultura/tradiciones,
iguanos,ecosistema,
illapel,geografía,
irwi,cultura/tradiciones,
itapuá,geografía,
jamuy,aprendizaje,
jaxbil,expresión artística,
jenipapo,ecosistema,
jicaras,cocina,
juntitas,relaciones,
juriques,geografía,
kaja,cocina,
kallawayas,cultura/tradiciones,
kaláantej,aprendizaje,
katrina,cultura/tradiciones,
kayak,infraestructura urbana,
kayu,aprendizaje,
kechu,aprendizaje,
kenti,aprendizaje,
kiwi,cocina,
kiñe,aprendizaje,
konibo,cultura/tradiciones,
koti'jere,geografía,
kre'chenen,cultura/tradiciones,
kula,aprendizaje,
languetea,sin definir,
lauk'ana,trabajo,herram
lavablanca,geografía,
lavangen,cultura/tradiciones,fiesta
lechita,cocina,
lejísimo,descripciones,
licancabur,geografía,
linco,sin definir,
maayat'aano,aprendizaje,
mac,sin definir,
magallanes,geografía,
magallánica,cultura/tradiciones,
magallánico,cultura/tradiciones,
mami,relaciones,
mamita,relaciones,
mascotitas,relaciones,
mayoli,sin definir,
mbojapé,cocina,
mbya,sin definir,
meli,aprendizaje,
meliponarios,trabajo,abejas
meliponas,descripciones,
miski,aprendizaje,
mistli,aprendizaje,
momón,geografía,
mon,sin definir,
moperita,cultura/tradiciones,
mordelon,descripciones,
motacú,ecosistema,
motelos,ecosistema,anim
moxo,cultura/tradiciones,
muertitos,salud/bienestar,
multigrado,descripciones,
nano,sin definir,
nanã,cultura/tradiciones,
chao'ngenechen,cultura/tradiciones,dios
nhanderú,cultura/tradiciones,dios
noni,ecosistema,
nubecitas,ecosistema,
nujaire,aprendizaje,
nuti,aprendizaje,
ogum,cultura/tradiciones,
onas,cultura/tradiciones,
oxalá,cultura/tradiciones,
oxóss,cultura/tradiciones,
pa'puúl,cultura/tradiciones,
paisa,cocina,
pandeiro,cultura/tradiciones,
paoyhan,geografía,
papagallos,ecosistema,
papapica,sin definir,
papi,relaciones,
papita,cocina,
parranta,cocina,
patahoiri,cultura/tradiciones,
pañoleta,cotidiano,
pejerreyes,ecosistema,
peladitas,descripciones,
peluditas,descripciones,
peluditos,descripciones,
prensan,trabajo,
petroglifos,cultura/tradiciones,
petrolifos,cultura/tradiciones,
picharacuaya,aprendizaje,
picolé,cocina,
pierneras,cotidiano,
piesta,sin definir,
pinquillo,expresión artística,ins
piriguines,ecosistema,
pitita,sin definir,material
pixan,cultura/tradiciones,
plumitas,sin definir,material
pobrecita,descripciones,
poh,sin definir,
pollin,sin definir,
pollon,sin definir,
poquita,descripciones,
portuges,cultura/tradiciones,
primita,relaciones,
primito,relaciones,
queques,cocina,
quetzalcoatl,cultura/tradiciones,
quicavi,geografía,
quimal,geografía,
reinita,cotidiano,
renín,sin definir,
reqle,aprendizaje,
ropita,cotidiano,
rosadito,descripciones,
rímac,geografía,
sachavacas,ecosistema,
sajinos,ecosistema,
sakab,cocina,
scotch,sin definir,
sequia,ecosistema,
shampa,expresión artística,ropa
shapchico,cultura/tradiciones,leyenda
shekeré,expresión artística,
sobrinito,relaciones,
solita,sentimientos,
sombrerito,cotidiano,
sopita,cocina,
suavecito,descripciones,
sudao,descripciones,
sungaro,ecosistema,
surf,actividades,
tablet,sin definir,objeto
taj,sin definir,madera
tajlla,trabajo,herram
talabre,geografía,
taquara,ecosistema,
tarrafear,actividades,
tatá,relaciones,
techito,sin definir,
tecitos,cocina,
temáukel,sin definir,
teniamos,experiencias,
terreiro,geografía,
tintirinti,cultura/tradiciones,
tipoi,expresión artística,traje
tolilla,ecosistema,
tororó,geografía,
traguan,cultura/tradiciones,
trampolinada,actividades,
tranquilitos,descripciones,
transhumancia,cultura/tradiciones,
trini,sin definir,
ucayali,geografía,
unayas,cultura/tradiciones,curanderos
uvimutu,sin definir,
vaquita,ecosistema,
velitas,sin definir,objeto
velociraptor,ecosistema,
verdurita,cocina,
viboras,ecosistema,
vicarau,sin definir,
villar,actividades,
vinchas,expresión artística,ropa
viñu,geografía,
volantinear,actividades,
vulpi,cocina,
waaj,sin definir,
wasi,aprendizaje,
xangô,cultura/tradiciones,
xtabay,cultura/tradiciones,leyenda
yachaq,cultura/tradiciones,
yacumama,geografía,
yamekiri,aprendizaje,
yantan,aprendizaje,
yatires,cultura/tradiciones,curanderos
yatiri,cultura/tradiciones,
yo'k'aankaba,geografía,
yucatán,geografía,
yura,sin definir,
zumbi,cultura/tradiciones,
amarete,geografía,
añihue,geografía,
toconao,geografía,
airampo,ecosistema,
beli,sin definir,
bijao,cocina,
blanquita,descripciones,
bujurqui,cultura/tradiciones,
bío,geografía,
cafecitos,descripciones,
capoeira,cultura/tradiciones,
chedungún,cultura/tradiciones,
clotaria,sin definir,
criancera,trabajo,
criancero,trabajo,
cuernitos,descripciones,
digueñes,ecosistema,
goalball,actividades,
isireri,geografía,
iskani,geografía,
jakun,aprendizaje,
juane,cocina,
kené,cultura/tradiciones,tejido
lizardo,sin definir,
lorito,ecosistema,
maderita,ecosistema,
maracuyá,cocina,
masato,cocina,
matecitos,cocina,
metsa,aprendizaje,
mojeña,cultura/tradiciones,
mojeño,cultura/tradiciones,
moxos,geografía,
nahir,sin definir,
nahual,cultura/tradiciones,
naka,ecosistema,
opy,cultura/tradiciones,fiesta
orixás,cultura/tradiciones,dios
oxum,cultura/tradiciones,
pachio,cocina,
pancito,cocina,
pantrucas,cocina,
pate,cocina,
pinalería,ecosistema,
plantitas,ecosistema,
pucallpa,geografía,
shipibas,cultura/tradiciones,
tepozteco,geografía,
tepoztlán,geografía,
wira,salud/bienestar,salud y salud/bienestar
yucatan,geografía,
ñusta,cultura/tradiciones,
shipibo,geografía,
tipikal,geografía,
convierte,sin definir,
alemania,geografía,
portugal,geografía,
colombia,geografía,
chile,geografía,
perú,geografía,
argentina,geografía,
debemos,aprendizaje,
santiago,geografía,
chiloé,geografía,
bolivia,geografía,
bogotá,geografía,
temuco,geografía,
méxico,geografía,
masha,cultura/tradiciones,baile
richi,actividades,juego
achu,cultura/tradiciones,
jere,geografía,
toca,expresión artística,
podemos,aprendizaje,
ponemos,experiencias,
hondo,descripciones,
dirige,trabajo,
vamos,actividades,
iban,experiencias,
pasamos,experiencias,
grandes,descripciones,
cerquita,descripciones,
cayó,experiencias,
gracias,aprendizaje,
largo,descripciones,
echamos,experiencias,
grande,descripciones,
abraza,sentimientos,
abrazar,sentimientos,
abrazo,sentimientos,
abundancia,descripciones,
academia,aprendizaje,
aceptemos,aprendizaje,
achunto,sin definir,
acerque,sin definir,
acompañando,relaciones,
acostumbras,sentimientos,
adn,salud/bienestar,
adornado,descripciones,
afecta,sentimientos,
agarro,sin definir,
agradecer,aprendizaje,
agradecerle,aprendizaje,
aguacate,cocina,
ajedrez,actividades,
alacranes,ecosistema,
alfajores,cocina,
algodones,sin definir,
aliviada,sentimientos,
almohada,cotidiano,
almohadas,cotidiano,
amarramos,trabajo,
amaso,trabajo,
ambiente,ecosistema,
amigo,relaciones,
ancha,descripciones,
ansioso,sentimientos,
anticuchos,cocina,
antiguo,descripciones,
aplasta,trabajo,
aplaudieron,sentimientos,
araucanía,geografía,
arañitas,ecosistema,
arbusto,ecosistema,
arranca,trabajo,
arrayanes,ecosistema,
avellanos,ecosistema,
boldos,ecosistema,
peumos,ecosistema,
arreglar,trabajo,
arrugadito,descripciones,
artesanal,expresión artística,
azulito,descripciones,
artista,trabajo,
asados,cocina,
ascensor,infraestructura urbana,
asumir,sentimientos,
asustar,sentimientos,
atropella,experiencias,
aullar,descripciones,
autobús,infraestructura urbana,
avanzar,sin definir,
uvas,cocina,
azúcar,cocina,
bailarin,trabajo,
banderitas,cultura/tradiciones,
barbies,actividades,juegs
bañarlos,trabajo,
besito,sentimientos,
bichos,ecosistema,
bici,actividades,
binoculares,infraestructura urbana,
boca,cotidiano,
bollitos,cocina,
brava,descripciones,
brillos,descripciones,
burlando,sentimientos,
buzo,trabajo,
bío'bío,geografía,
búsqueda,actividades,
cabello,cotidiano,
cacharro,sin definir,
cachorritos,ecosistema,
cactus,ecosistema,
caerme,cotidiano,
cafés,descripciones,
cajas,cotidiano,
calle,infraestructura urbana,
caluroso,descripciones,
camarón,cocina,
camiseta,cotidiano,
campeón,descripciones,
canciones,expresión artística,
canela,cocina,
cansarse,sentimientos,
canso,sentimientos,
caníbal,descripciones,
capilla,infraestructura urbana,
caracoles,ecosistema,
caracolitos,ecosistema,
carpa,cotidiano,
carpas,cotidiano,
carpita,cotidiano,
católica,cultura/tradiciones,
cazadora,trabajo,
cedrón,ecosistema,
celulares,cotidiano,
cercos,infraestructura urbana,
cerezas,cocina,
cerrando,sin definir,
chachai,relaciones,padre
chacras,trabajo,
chedki,relaciones,abuelo materno
chelo,expresión artística,
chicle,cocina,
chicos,descripciones,
chilena,cultura/tradiciones,
chillán,geografía,
china,geografía,
chocando,sin definir,
choclo,cocina,
chocolates,cocina,
choique,cultura/tradiciones,
chorizo,cocina,
churros,cocina,
ciclo,ecosistema,
ciegas,descripciones,
científica,trabajo,
cintura,cotidiano,
miquel'circus,sin definir,
clima,ecosistema,
club,relaciones,
cobijas,cotidiano,
cojita,salud/bienestar,
colchones,cotidiano,
colección,cotidiano,
colgamos,experiencias,
coloca,sin definir,
colocan,sin definir,
columna,cotidiano,
combate,experiencias,
combatir,trabajo,
comiendo,cocina,
comunico,relaciones,
condición,salud/bienestar,
conectarse,relaciones,
conejita,ecosistema,
confitadas,cocina,
congelé,sin definir,
conocido,descripciones,
conozcan,sin definir,
continente,geografía,
contorsionista,trabajo,
conversa,relaciones,
copa,cotidiano,
coquimbanos,cultura/tradiciones,
corbeta'esmeralda,cultura/tradiciones,
corren,sin definir,
corta,trabajo,
corvinas,ecosistema,
cosemos,trabajo,
costó,experiencias,
coyoi,ecosistema,
creyeron,experiencias,
crezca,sin definir,
creí,experiencias,
cuchara,cotidiano,
cuidarlo,aprendizaje,
cuide,aprendizaje,
cuido,aprendizaje,
cálido,descripciones,
danza,expresión artística,
dar,aprendizaje,
dará,sin definir,
debe,aprendizaje,
deben,aprendizaje,
dejar,sin definir,
delantero,descripciones,
desayuno,cocina,
desfiles,cultura/tradiciones,
diabladas,cultura/tradiciones,
diera,sin definir,
diferencias,aprendizaje,
dificil,descripciones,
disfraza,actividades,
distintas,descripciones,
divinísima,descripciones,
doblarme,experiencias,
doble,sin definir,
