"id_libro","cluster_lsa_k3","cluster_lsa_k12","cluster_cor_k3","titulo","nivel","etapa"
"L0567",1,1,1,"La pata de palo",8,"Basica superior"
"L0568",3,6,3,"¿Estás ahí, Dios? Soy yo, Margaret",7,"Basica superior"
"L0569",3,7,3,"Adiós al séptimo de línea",7,"Basica superior"
"L0571",3,6,3,"Bajo la misma estrella",7,"Basica superior"
"L0572",3,6,3,"Bibiana y su mundo",7,"Basica superior"
"L0573",1,1,1,"Castilla",7,"Basica superior"
"L0574",3,6,3,"Cinco panes de cebada",7,"Basica superior"
"L0575",1,1,1,"Conejos blancos",7,"Basica superior"
"L0576",3,6,3,"Corazón de tinta",7,"Basica superior"
"L0577",2,8,1,"Cuando me puse a pensar",7,"Basica superior"
"L0578",2,8,3,"Cuentos de amor, de locura y de muerte",7,"Basica superior"
"L0580",1,1,1,"Dos plagas, más el volcán Calbuco y el cambio tan bajo",7,"Basica superior"
"L0581",1,1,1,"El anillo",7,"Basica superior"
"L0582",2,3,2,"El caballero de la carreta",7,"Basica superior"
"L0583",2,8,3,"El capitán Alatriste",7,"Basica superior"
"L0584",2,8,3,"El capitán Alatriste",7,"Basica superior"
"L0586",2,8,2,"El conde Lucanor",7,"Basica superior"
"L0587",2,8,3,"El corsario negro; La hija del corsario negro",7,"Basica superior"
"L0588",2,2,3,"El dador",7,"Basica superior"
"L0590",2,8,3,"El extraño caso del doctor Jekyll y el señor Hyde",7,"Basica superior"
"L0591",2,8,3,"El extraño caso del doctor Jekyll y Mr. Hyde",7,"Basica superior"
"L0592",2,8,3,"El fantasma de Canterville",7,"Basica superior"
"L0593",3,6,3,"El ladrón del rayo",7,"Basica superior"
"L0594",2,8,3,"El libro de las tierras vírgenes",7,"Basica superior"
"L0595",3,6,3,"El libro del cementerio",7,"Basica superior"
"L0596",3,6,3,"El niño con el pijama de rayas",7,"Basica superior"
"L0597",1,1,1,"El perro que no sabía ladrar",7,"Basica superior"
"L0598",2,2,3,"El Principito",7,"Basica superior"
"L0599",2,8,3,"El último grumete de la Baquedano",7,"Basica superior"
"L0600",2,2,1,"El vaso de leche",7,"Basica superior"
"L0601",3,7,3,"En la corte de mi padre",7,"Basica superior"
"L0602",2,3,2,"en Mitos griegos 1",7,"Basica superior"
"L0603",3,6,3,"Eragon",7,"Basica superior"
"L0604",1,1,1,"Fábula 11: los dos amigos",7,"Basica superior"
"L0605",1,1,1,"Famoso cohete",7,"Basica superior"
"L0606",3,7,3,"Fútbol a sol y sombra",7,"Basica superior"
"L0607",2,3,2,"Génesis",7,"Basica superior"
"L0608",3,6,3,"Ghostgirl",7,"Basica superior"
"L0609",3,7,3,"Gólem, el coloso de barro",7,"Basica superior"
"L0610",1,1,1,"Historia de una gaviota y el gato que le enseñó a volar",7,"Basica superior"
"L0611",1,1,1,"Inti y Mama Quilla",7,"Basica superior"
"L0612",3,6,3,"Kalfukura",7,"Basica superior"
"L0613",2,8,3,"La casa del juez",7,"Basica superior"
"L0614",3,6,3,"La colina de Watership",7,"Basica superior"
"L0616",2,8,1,"La decisión de Randolph Carter",7,"Basica superior"
"L0617",3,6,3,"La gran Gilly Hopkins",7,"Basica superior"
"L0618",2,8,3,"La hija del corsario negro",7,"Basica superior"
"L0619",2,3,2,"La historia de Hércules",7,"Basica superior"
"L0621",3,6,3,"La huella del Dragón. Cuentos populares chinos",7,"Basica superior"
"L0622",3,6,3,"La leyenda de Al-Qit",7,"Basica superior"
"L0623",2,8,1,"La mano",7,"Basica superior"
"L0624",3,6,3,"La noche del Samurai: cuentos populares japoneses",7,"Basica superior"
"L0625",1,1,1,"La pata de mono",7,"Basica superior"
"L0626",2,3,2,"Las metamorfosis",7,"Basica superior"
"L0627",2,8,3,"Las minas del rey Salomón",7,"Basica superior"
"L0628",2,8,3,"Las minas del rey Salomón",7,"Basica superior"
"L0632",3,7,3,"Mágico sur",7,"Basica superior"
"L0633",2,8,3,"Memoria del fuego I: Los nacimientos",7,"Basica superior"
"L0634",2,2,1,"Mi planta de naranja lima",7,"Basica superior"
"L0635",2,8,3,"Mitos de memoria del fuego",7,"Basica superior"
"L0636",2,3,2,"Mitos griegos",7,"Basica superior"
"L0637",3,7,3,"Momentos estelares de la humanidad",7,"Basica superior"
"L0638",2,2,3,"No se culpe a nadie",7,"Basica superior"
"L0639",2,4,2,"Nuevo testamento",7,"Basica superior"
"L0640",1,1,1,"Piel de asno",7,"Basica superior"
"L0643",3,6,3,"Puente a Terabithia",7,"Basica superior"
"L0646",2,2,3,"Quique Hache. El mall embrujado y otras historias",7,"Basica superior"
"L0647",1,1,1,"Rig Veda",7,"Basica superior"
"L0648",2,8,3,"Robin Hood",7,"Basica superior"
"L0649",2,8,3,"Robin Hood",7,"Basica superior"
"L0650",1,1,1,"Si",7,"Basica superior"
"L0651",3,6,3,"Stardust",7,"Basica superior"
"L0652",3,6,3,"Trilogía de Fairy Oak",7,"Basica superior"
"L0653",2,8,1,"Un destripador de antaño",7,"Basica superior"
"L0654",3,6,3,"Un viejo que leía novelas de amor",7,"Basica superior"
"L0655",1,1,1,"Vencidos",7,"Basica superior"
"L0656",3,7,3,"Vuelo Nocturno",7,"Basica superior"
"L0657",3,7,3,"Yo soy Malala",7,"Basica superior"
"L0658",2,8,3,"Sub-Terra",7,"Basica superior"
"L0659",2,8,3,"Sub-Terra",10,"Media"
"L0660",2,3,2,"La Odisea",7,"Basica superior"
"L0661",2,3,2,"La Odisea",11,"Media"
"L0662",1,1,1,"La Araucana",7,"Basica superior"
"L0663",1,1,1,"La Araucana",8,"Basica superior"
"L0664",2,3,2,"La Ilíada",7,"Basica superior"
"L0665",2,3,2,"La Ilíada",8,"Basica superior"
"L0666",2,11,2,"Don Quijote de la Mancha: primera parte",7,"Basica superior"
"L0667",2,11,2,"Don Quijote de la Mancha: primera parte",8,"Basica superior"
"L0668",2,11,2,"Don Quijote de la Mancha: primera parte",10,"Media"
"L0669",2,8,3,"Sub-Sole",7,"Basica superior"
"L0670",2,8,3,"Sub-Sole",8,"Basica superior"
"L0671",2,8,3,"Sub-Sole",10,"Media"
"L0672",3,6,3,"Alicia en el País de las Maravillas",8,"Basica superior"
"L0673",2,3,2,"Beowulf",8,"Basica superior"
"L0674",2,2,1,"Como en Santiago",8,"Basica superior"
"L0675",3,6,3,"Crónicas marcianas",8,"Basica superior"
"L0676",1,1,1,"Cuentos judíos de la aldea de Chelm",8,"Basica superior"
"L0677",1,1,1,"Cuentos judíos de la aldea de Chelm",8,"Basica superior"
"L0678",2,8,1,"Cyrano de Bergerac",8,"Basica superior"
"L0679",2,10,2,"Divina comedia",8,"Basica superior"
"L0680",2,2,1,"Dos pesos de agua",8,"Basica superior"
"L0681",2,8,1,"El avaro",8,"Basica superior"
"L0682",1,1,1,"El bigote del tigre",8,"Basica superior"
"L0683",3,7,3,"El candor del padre Brown",8,"Basica superior"
"L0684",2,3,2,"El cantar de Rolando",8,"Basica superior"
"L0685",1,1,1,"El contador de historias",8,"Basica superior"
"L0686",2,8,1,"El enfermo imaginario",8,"Basica superior"
"L0687",3,6,3,"El fugitivo",8,"Basica superior"
"L0688",3,6,3,"El fugitivo",8,"Basica superior"
"L0689",2,8,2,"El perro y el caballo",8,"Basica superior"
"L0690",1,1,1,"El ruiseñor y la rosa",8,"Basica superior"
"L0691",1,1,1,"Entremés del mancebo que casó con mujer brava",8,"Basica superior"
"L0692",1,1,1,"Éramos los elegidos del sol",8,"Basica superior"
"L0693",2,3,2,"Homero. Ilíada",8,"Basica superior"
"L0694",2,12,1,"La araña",8,"Basica superior"
"L0695",2,3,2,"La Canción de los Nibelungos",8,"Basica superior"
"L0696",2,2,2,"La dama de Shalott",8,"Basica superior"
"L0697",1,1,1,"La desaparición de Honorato Subrac",8,"Basica superior"
"L0698",2,10,2,"La Divina Comedia",8,"Basica superior"
"L0699",2,8,1,"La fierecilla domada",8,"Basica superior"
"L0700",2,2,1,"La melancólica muerte del chico Ostra",8,"Basica superior"
"L0702",2,12,1,"Libro de buen amor",8,"Basica superior"
"L0703",2,3,2,"Los trabajos y los días",8,"Basica superior"
"L0704",2,2,3,"Muchos gatos para un solo crimen",8,"Basica superior"
"L0705",3,7,3,"Obras completas",8,"Basica superior"
"L0706",2,8,2,"Poema de Mío Cid",8,"Basica superior"
"L0707",2,8,2,"Poema del Mío Cid",8,"Basica superior"
"L0709",3,6,3,"Relatos de lo inesperado",8,"Basica superior"
"L0710",2,2,1,"Setenta balcones y ninguna flor",8,"Basica superior"
"L0711",1,1,1,"Solo las flores son nuestra riqueza",8,"Basica superior"
"L0712",2,3,2,"Tristán e Isolda",8,"Basica superior"
"L0713",3,7,3,"Viaje de un naturalista alrededor del Mundo en el navío de S.M Beagle",8,"Basica superior"
"L0714",2,3,2,"La Eneida",8,"Basica superior"
"L0715",2,3,2,"La Eneida",11,"Media"
"L0716",2,2,1,"La hija del capitán",8,"Basica superior"
"L0717",2,2,1,"La hija del capitán",11,"Media"
"L0718",1,1,2,"Los heraldos negros",8,"Basica superior"
"L0719",1,1,2,"Los heraldos negros",12,"Media"
"L0720",3,6,3,"Los juegos del hambre",8,"Basica superior"
"L0721",3,6,3,"Los juegos del hambre",12,"Media"
